#     thickness (A)        interface (A)       rho (1e-6/A^2)      irho (1e-6/A^2)
                   0                  1.5                 3.54                    0
    32.3026918926964   0.0488075136946071       3.699216312977                    0
     12.099913072217   0.0444647006381101     6.37287284238221                    0
    35.8996661140038    0.976544963917051       3.699216312977                    0
    10.9001771642763      0.9829989415983     6.37287284238221                    0
    35.8989947977689    0.037503981632729       3.699216312977                    0
    12.0952786417988    0.184393048399322     6.37287284238221                    0
    35.8990453930627     0.98082453192391       3.699216312977                    0
    10.9002734981756    0.964797256911326     6.37287284238221                    0
    35.8997818386575   0.0620878948250849       3.699216312977                    0
    12.0993419271949   0.0929274427386472     6.37287284238221                    0
     35.899655757097    0.967793006676712       3.699216312977                    0
    3.65082960494422    0.974950941600278     6.37287284238221                    0
    35.8989642245048   0.0465174145162973       3.699216312977                    0
    4.04979932922171     0.99430785741786     6.37287284238221                    0
    35.5599859196824    0.982786989111549       3.699216312977                    0
     4.0493864055119   0.0714280685457298     6.37287284238221                    0
    35.8979990064359    0.926778306148209       3.699216312977                    0
     4.0496663119425   0.0770532457434164     6.37287284238221                    0
    35.8954642489453    0.216507502073838       3.699216312977                    0
    4.04929616734334    0.984298484796194     6.37287284238221                    0
    35.8934748117719    0.979919089406833       3.699216312977                    0
    12.0996540540469   0.0434447065570987     6.37287284238221                    0
    35.8993199620817   0.0546578611849473       3.699216312977                    0
    10.9003573887923    0.994458028386339     6.37287284238221                    0
    32.3108985224378    0.999121991921788       3.699216312977                    0
    12.0975787058253   0.0303017071984727     6.37287284238221                    0
    35.8999918770854   0.0187366709153543       3.699216312977                    0
    10.9029931332697    0.999519080262602     6.37287284238221                    0
    32.3001118583114    0.999312652911867       3.699216312977                    0
    12.0999300597077   0.0157264801061079     6.37287284238221                    0
                   0                    0                    0                    0
