#     thickness (A)        interface (A)       rho (1e-6/A^2)      irho (1e-6/A^2)
                   0                  1.5                 3.54                    0
    40.9931486646291    0.813828808508128     2.99200345819237                    0
    9.30781498243697    0.493590311970135     7.69534743554174                    0
    40.9848032345379    0.625232841150461     2.99200345819237                    0
    9.33783095004238    0.365120151673968     7.69534743554174                    0
    40.7711793588742    0.645910269865813     2.99200345819237                    0
    9.62524847457015    0.230611585160439     7.69534743554174                    0
    33.3495797257951     0.91525108275066     2.99200345819237                    0
    9.41834178645099      0.6065618514078     7.69534743554174                    0
    40.9603732595501    0.698990998375336     2.99200345819237                    0
     9.4963377880894    0.718697079367262     7.69534743554174                    0
    40.2025046837413    0.696785585330703     2.99200345819237                    0
    4.42143232561512    0.691372506386342     7.69534743554174                    0
    28.6468602153535    0.852317552635858     2.99200345819237                    0
    4.61644893252338    0.784651012880741     7.69534743554174                    0
    27.9387160980432    0.629760731659103     2.99200345819237                    0
    4.69131570008428    0.804763398581473     7.69534743554174                    0
    27.8983871064264    0.508539558738064     2.99200345819237                    0
    4.69781013366843    0.525759566814091     7.69534743554174                    0
    27.6034247534768    0.434329985220065     2.99200345819237                    0
    4.25406678982779     0.44555559149725     7.69534743554174                    0
     27.768650073318    0.556960152709006     2.99200345819237                    0
    13.7578343378841    0.455432632621811     7.69534743554174                    0
    40.9986187426475    0.296576590579241     2.99200345819237                    0
    11.5501493949408    0.959234445744562     7.69534743554174                    0
    27.4139301794066    0.693128153904216     2.99200345819237                    0
    13.4172417952683    0.706856454030916     7.69534743554174                    0
    40.9611303808485    0.419474325285053     2.99200345819237                    0
    12.2980820780431    0.649093238239431     7.69534743554174                    0
    27.3557174993127    0.976618154186138     2.99200345819237                    0
    13.7877430498727    0.406123562487503     7.69534743554174                    0
                   0                    0                    0                    0
