#     thickness (A)        interface (A)       rho (1e-6/A^2)      irho (1e-6/A^2)      rhoM (1e-6/A^2)      theta (degrees)
                   0                  1.5                 3.54                    0                    0                  270
    40.2994410804641     1.49973673799774                  3.7                    0                    1                  270
    10.1288076397831     1.49881346408017                6.359                    0                  0.3                  270
    40.2997194886009      1.4999503726754                  3.7                    0                    1                  270
    4.32968692389642     0.51372813043739                6.359                    0                  0.3                  270
    40.2995276222056      1.4993711632721                  3.7                    0                    1                  270
    10.1005167016048      1.4913270374981                6.359                    0                  0.3                  270
    40.2956793771537     1.49995063244661                  3.7                    0                    1                  270
    3.39154276290165    0.506303346301226                6.359                    0                  0.3                  270
    40.2999999797342    0.523004476354883                  3.7                    0                    1                  270
     10.100016846902     1.49926888366051                6.359                    0                  0.3                  270
    40.2981759856049     1.49968142523664                  3.7                    0                    1                  270
    3.39090702083786    0.500709010879495                6.359                    0                  0.3                  270
     40.295953793715    0.560307393711511                  3.7                    0                    1                  270
    10.1000076798089     1.49527978162467                6.359                    0                  0.3                  270
    40.2996368793608      1.4768935756886                  3.7                    0                    1                  270
    3.39006642366877     1.49953361546996                6.359                    0                  0.3                  270
    40.2999835102752     1.49985367400804                  3.7                    0                    1                  270
    10.1000014523403    0.556364126152603                6.359                    0                  0.3                  270
    40.2994780599276    0.500039849211436                  3.7                    0                    1                  270
    3.39096822973249     1.49973423056077                6.359                    0                  0.3                  270
    38.8228827304936      1.4996874548323                  3.7                    0                    1                  270
    10.1000324841938     1.49678981457436                6.359                    0                  0.3                  270
    40.1910648616483    0.531973470550927                  3.7                    0                    1                  270
    3.39023799559732     1.49592099661245                6.359                    0                  0.3                  270
    31.5023229480607     1.49970015738451                  3.7                    0                    1                  270
    12.2651060142131     1.49999672793708                6.359                    0                  0.3                  270
    34.5555293255508    0.518646969122659                  3.7                    0                    1                  270
    4.32999136640626    0.548379252553494                6.359                    0                  0.3                  270
    31.5000843537716     1.49740129806895                  3.7                    0                    1                  270
    12.8997508355299     1.49792942304776                6.359                    0                  0.3                  270
                   0                    0                    0                    0                    0                  270
