#     thickness (A)        interface (A)       rho (1e-6/A^2)      irho (1e-6/A^2)
                   0                  1.5                 3.54                    0
    40.4744355079284    0.737703298799986     3.37151696425842                    0
    13.7441751345971    0.482993549560183     7.69797440863083                    0
    40.8916640076229    0.282641031151665     3.37151696425842                    0
    9.22377207245431    0.616129425982512     7.69797440863083                    0
    40.7172564655365    0.499537820702018     3.37151696425842                    0
    11.4233529232589    0.260205533977303     7.69797440863083                    0
     39.237168729682    0.660197350756807     3.37151696425842                    0
    9.35772492333073     0.42865513386755     7.69797440863083                    0
    40.9579486487645    0.445042556544038     3.37151696425842                    0
    10.9288118812844    0.485057247757585     7.69797440863083                    0
    40.3849777501508    0.583637688052531     3.37151696425842                    0
    4.62651815327113    0.414546679300773     7.69797440863083                    0
    32.8087376967911    0.695656821069171     3.37151696425842                    0
    4.67094658372469    0.628086931710049     7.69797440863083                    0
     27.163038991998    0.557349151351911     3.37151696425842                    0
    4.67931191799199     0.55267827804619     7.69797440863083                    0
    27.1306964833789    0.422357714864965     3.37151696425842                    0
    4.68346191204189    0.351872702842541     7.69797440863083                    0
    32.7200592455283    0.332547298619545     3.37151696425842                    0
    3.68550768503188    0.252928213814474     7.69797440863083                    0
    31.3560531627958    0.676327516853998     3.37151696425842                    0
    13.7672500246424    0.400609114153747     7.69797440863083                    0
    40.9930445394582    0.163148291828997     3.37151696425842                    0
    9.21118809492272    0.766067703900886     7.69797440863083                    0
    28.5577186752887    0.708276350436841     3.37151696425842                    0
    11.2116302924602    0.397842741311721     7.69797440863083                    0
    40.9800204078841     0.16962221073653     3.37151696425842                    0
     9.7955429338907    0.566497529627023     7.69797440863083                    0
    27.0384170430203    0.770389441361377     3.37151696425842                    0
    13.7951414094691    0.393413481673137     7.69797440863083                    0
                   0                    0                    0                    0
