#     thickness (A)        interface (A)       rho (1e-6/A^2)      irho (1e-6/A^2)      rhoM (1e-6/A^2)      theta (degrees)
                   0                  1.5                 3.54                    0                    0     220.016187613033
    35.8999763551114    0.991517161690633                  3.7                    0     1.43999975615374     220.016187613033
    12.0976456838363    0.999999082416319                6.359                    0    0.280190970060164     220.180771037692
    35.8999607635805    0.999175920489308                  3.7                    0    0.950053104011193     319.999704674142
     10.916900291373      0.9997978369314                6.359                    0    0.280430836253842     220.000264484624
    35.8999102407187    0.998563478223095                  3.7                    0    0.969746403746716      220.07775236534
    10.9034319621133    0.999656470600024                6.359                    0    0.192337094424341     220.006001175387
    35.8999962256821    0.999868959773099                  3.7                    0    0.640131335734982      319.99683344599
    10.9000804415887    0.999839264340448                6.359                    0    0.192347013795078     319.837522354146
    35.8996855141303    0.999919864658957                  3.7                    0    0.654280551461299     220.033238251039
    10.9009823787915    0.983972211557809                6.359                    0    0.192175975876055     220.114197866783
    35.8991583571373    0.999906373186372                  3.7                    0    0.640069349711421     221.402659964286
    3.65011617632103   0.0945551225911317                6.359                    0    0.288746990471703      319.99992364671
    35.8990924710758    0.999910204777874                  3.7                    0    0.969985380910495     220.022570936978
     3.6515114081102    0.999649877824892                6.359                    0    0.288955714060726     319.872722242808
    35.8980801338978    0.999505157651077                  3.7                    0    0.969903159223666      319.99975280611
    3.65027014866519    0.997330674718383                6.359                    0    0.286850465277129     319.738882385494
    35.8995336479275    0.990857273516943                  3.7                    0    0.969896536309619     319.999929947805
    3.65002581675316     0.97616260722089                6.359                    0    0.288933739556066     319.867010773279
    35.8998166208382    0.167715882298592                  3.7                    0    0.969995085404428     319.999406977657
    3.65186218808486    0.995629872663096                6.359                    0    0.288996177917574     319.948142116533
    35.8997151614967    0.999967444794469                  3.7                    0    0.969713614900555     319.997512353245
    12.0954114128222    0.999140742454424                6.359                    0    0.192306780558705     319.919751564418
    35.8994921298259    0.996701647340918                  3.7                    0    0.640604250452426     319.989158140706
    12.0999329014015    0.999524722222122                6.359                    0    0.192454149094703     319.999070032141
    35.8935215395009    0.999602204637915                  3.7                    0    0.640002218809285     220.011232483834
    12.0999195693942    0.980382300305929                6.359                    0    0.192113860364979     220.046153936213
     35.896844113264    0.992620056061417                  3.7                    0    0.640144138114777     220.038167890025
    12.0999770976277    0.991720118175803                6.359                    0    0.192373534098093     319.974327775916
    35.8991979583523    0.997051441367232                  3.7                    0    0.640241565842181     220.005018278098
    12.0999770976277    0.991720118175803                6.359                    0    0.192190417129942     319.967972186487
                   0                    0                    0                    0                    0     319.967972186487
