Q (1/A)	 Ref	 dRef (SD)	 dq(FWHM, 1/A)
0.0106935	 1.06216	 0.20027	 0.000635075
0.0110741	 1.17148	 0.141384	 0.000657673
0.0114683	 1.00221	 0.0915918	 0.000681075
0.0118765	 1.10639	 0.0789324	 0.000705309
0.0122992	 1.05771	 0.0623814	 0.000730405
0.012737	 1.05113	 0.0537991	 0.000756394
0.0131903	 1.14121	 0.048641	 0.000783307
0.0136598	 1.0349	 0.0392804	 0.000811178
0.014146	 1.04182	 0.0368527	 0.000840041
0.0146496	 1.01899	 0.0330158	 0.00086993
0.015171	 0.884871	 0.027697	 0.000900882
0.015711	 0.655495	 0.0207441	 0.000932936
0.0162702	 0.387007	 0.0132903	 0.00096613
0.0168493	 0.153066	 0.00784855	 0.0010005
0.0174491	 0.0417093	 0.00443311	 0.0010361
0.0180702	 0.0549328	 0.00423334	 0.00107297
0.0187134	 0.0950966	 0.00490447	 0.00111114
0.0193794	 0.128437	 0.00534618	 0.00115068
0.0200692	 0.127909	 0.00498809	 0.00119162
0.0207836	 0.110336	 0.00444978	 0.00123401
0.0215234	 0.0819428	 0.00364942	 0.00127792
0.0222895	 0.0509604	 0.00287034	 0.00132339
0.0230828	 0.0264236	 0.00209333	 0.00137047
0.0239044	 0.00989237	 0.0014842	 0.00141923
0.0247553	 0.0074326	 0.00133306	 0.00146973
0.0256365	 0.0100657	 0.00139139	 0.00152202
0.026549	 0.0160653	 0.00162328	 0.00157617
0.0274939	 0.0145648	 0.00149912	 0.00163226
0.0284726	 0.0142889	 0.00152688	 0.00169033
0.029486	 0.00911264	 0.00132833	 0.00175048
0.0305356	 0.00616173	 0.00120876	 0.00181276
0.0316224	 0.00355503	 0.00113411	 0.00187727
0.032748	 0.00143751	 0.00116008	 0.00194407
0.0339137	 0.00608313	 0.00144036	 0.00201325
0.0351208	 0.00740669	 0.00139324	 0.00208489
0.0363709	 0.00523437	 0.00126855	 0.00215909
0.0376655	 0.00387001	 0.00123422	 0.00223592
0.0390061	 0.00159627	 0.00106836	 0.0023155
0.0403945	 0.000919649	 0.00105312	 0.00239791
0.0418323	 0.00156388	 0.00109701	 0.00248326
0.0424266	 0.00389671	 0.00185222	 0.00221681
0.0439367	 0.0046196	 0.00155181	 0.00229582
0.0455006	 0.00417284	 0.00130452	 0.00237766
0.0471202	 0.0032185	 0.001069	 0.00246243
0.0487974	 0.00148322	 0.000855275	 0.00255023
0.0505343	 0.000808544	 0.00069948	 0.00264118
0.052333	 0.00112265	 0.000608499	 0.00273538
0.0541958	 0.00120104	 0.000522553	 0.00283297
0.0561248	 0.00081817	 0.000446771	 0.00293406
0.0581225	 0.000578127	 0.000388062	 0.00303877
0.0601914	 0.000472636	 0.000341621	 0.00314725
0.0623338	 0.000722681	 0.000319693	 0.00325963
0.0645525	 0.000667381	 0.000286907	 0.00337605
0.0668502	 0.000304415	 0.000248619	 0.00349666
0.0692297	 0.000283732	 0.000229398	 0.00362162
0.0716939	 0.000278492	 0.000213339	 0.00375109
0.0742457	 0.000443466	 0.000208777	 0.00388524
0.0768885	 0.000220483	 0.000186105	 0.00402424
0.0796252	 0.000131089	 0.000178062	 0.00416827
0.0824594	 0.000220744	 0.000175625	 0.00431752
0.0853945	 7.79178e-05	 0.000164265	 0.00447218
0.088434	 8.50713e-05	 0.000167334	 0.00463247
0.0915818	 0.000292948	 0.000177888	 0.0047986
0.0948416	 0.000104467	 0.000171505	 0.00497078
0.0982174	 0.000146948	 0.000174878	 0.00514926
0.101713	 0.000104991	 0.000190851	 0.00533427
0.105334	 8.12155e-05	 0.000194639	 0.00552607
0.109083	 5.51679e-05	 0.000185382	 0.00572492
0.112966	 9.83521e-05	 0.000181911	 0.0059311
0.116987	 0.000123172	 0.000182171	 0.0061449
0.121151	 0.000264111	 0.000187939	 0.00636662
0.125463	 0.00024548	 0.000189421	 0.00659657
0.129929	 0.000217989	 0.000190882	 0.0068351
0.134553	 0.000132966	 0.000189649	 0.00708254
0.139343	 4.71591e-05	 0.000192195	 0.00733927
0.144302	 2.73753e-05	 0.000214745	 0.00760567
0.149439	 2.96826e-05	 0.000226152	 0.00788215
0.154758	 8.34856e-05	 0.00023542	 0.00816912
0.160266	 4.5096e-05	 0.000248625	 0.00846703
0.165971	 0	 0.000269642	 0.00877636
