#     thickness (A)        interface (A)       rho (1e-6/A^2)      irho (1e-6/A^2)      rhoM (1e-6/A^2)      theta (degrees)
                   0                  1.5                 3.54                    0                    0     321.356410734387
                 0.3                    0                  3.7                    0      1.2983528007023     321.356410734387
                 0.3                    0                  3.7                    0     1.29821919916698     319.775565991837
                 0.3                    0                  3.7                    0     1.29808559763165     318.194721249286
                 0.3                    0                  3.7                    0     1.29795199609633     316.613876506735
                 0.3                    0                  3.7                    0     1.29781839456101     315.033031764185
                 0.3                    0                  3.7                    0     1.29768479302568     313.452187021634
                 0.3                    0                  3.7                    0     1.29755119149036     311.871342279083
                 0.3                    0                  3.7                    0     1.29741758995504     310.290497536533
                 0.3                    0                  3.7                    0     1.29728398841971     308.709652793982
                 0.3                    0                  3.7                    0     1.29715038688439     307.128808051432
                 0.3                    0                  3.7                    0     1.29701678534906     305.547963308881
                 0.3                    0                  3.7                    0     1.29688318381374      303.96711856633
                 0.3                    0                  3.7                    0     1.29674958227842      302.38627382378
                 0.3                    0                  3.7                    0     1.29661598074309     300.805429081229
                 0.3                    0                  3.7                    0     1.29648237920777     299.224584338678
                 0.3                    0                  3.7                    0     1.29634877767245     297.643739596128
                 0.3                    0                  3.7                    0     1.29621517613712     296.062894853577
                 0.3                    0                  3.7                    0      1.2960815746018     294.482050111026
   0.300000000000001                    0                  3.7                    0     1.29594797306648     292.901205368476
                 0.3                    0                  3.7                    0     1.29581437153115     291.320360625925
                 0.3                    0                  3.7                    0     1.29568076999583     289.739515883374
                 0.3                    0                  3.7                    0     1.29554716846051     288.158671140824
                 0.3                    0                  3.7                    0     1.29541356692518     286.577826398273
                 0.3                    0                  3.7                    0     1.29527996538986     284.996981655723
   0.300000000000001                    0                  3.7                    0     1.29514636385454     283.416136913172
                 0.3                    0                  3.7                    0     1.29501276231921     281.835292170621
                 0.3                    0                  3.7                    0     1.29487916078389     280.254447428071
   0.300000000000001                    0                  3.7                    0     1.29474555924857      278.67360268552
   0.299999999999999                    0                  3.7                    0     1.29461195771324     277.092757942969
   0.300000000000001                    0                  3.7                    0     1.29447835617792     275.511913200419
   0.299999999999999                    0                  3.7                    0     1.29434475464259     273.931068457868
   0.300000000000001                    0                  3.7                    0     1.29421115310727     272.350223715317
   0.300000000000001                    0                  3.7                    0     1.29407755157195     270.769378972767
   0.299999999999999                    0                  3.7                    0     1.29394395003662     269.188534230216
   0.300000000000001                    0                  3.7                    0      1.2938103485013     267.607689487666
   0.299999999999999                    0                  3.7                    0     1.29367674696598     266.026844745115
   0.300000000000001                    0                  3.7                    0     1.29354314543065     264.446000002564
   0.300000000000001                    0                  3.7                    0     1.29340954389533     262.865155260014
   0.299999999999999                    0                  3.7                    0     1.29327594236001     261.284310517463
   0.300000000000001                    0                  3.7                    0     1.29314234082468     259.703465774912
   0.299999999999999                    0                  3.7                    0     1.29300873928936     258.122621032362
   0.300000000000001                    0                  3.7                    0     1.29287513775404     256.541776289811
   0.300000000000001                    0                  3.7                    0     1.29274153621871      254.96093154726
   0.299999999999999                    0                  3.7                    0     1.29260793468339      253.38008680471
   0.300000000000001                    0                  3.7                    0     1.29247433314807     251.799242062159
   0.299999999999999                    0                  3.7                    0     1.29234073161274     250.218397319608
   0.300000000000001                    0                  3.7                    0     1.29220713007742     248.637552577058
   0.299999999999999                    0                  3.7                    0      1.2920735285421     247.056707834507
   0.300000000000001                    0                  3.7                    0     1.29193992700677     245.475863091957
   0.300000000000001                    0                  3.7                    0     1.29180632547145     243.895018349406
