#     thickness (A)        interface (A)       rho (1e-6/A^2)      irho (1e-6/A^2)      rhoM (1e-6/A^2)      theta (degrees)
                   0                  1.5                 3.54                    0                    0      285.59533032307
                 0.2                    0                  3.7                    0    0.209779099179838      285.59533032307
                 0.2                    0                  3.7                    0    0.209780255469915     285.566942437338
                 0.2                    0                  3.7                    0    0.209781411759993     285.538554551607
                 0.2                    0                  3.7                    0     0.20978256805007     285.510166665876
                 0.2                    0                  3.7                    0    0.209783724340147     285.481778780145
                 0.2                    0                  3.7                    0    0.209784880630225     285.453390894414
                 0.2                    0                  3.7                    0    0.209786036920302     285.425003008683
                 0.2                    0                  3.7                    0     0.20978719321038     285.396615122951
                 0.2                    0                  3.7                    0    0.209788349500457      285.36822723722
                 0.2                    0                  3.7                    0    0.209789505790534     285.339839351489
                 0.2                    0                  3.7                    0    0.209790662080612     285.311451465758
                 0.2                    0                  3.7                    0    0.209791818370689     285.283063580027
                 0.2                    0                  3.7                    0    0.209792974660766     285.254675694296
                 0.2                    0                  3.7                    0    0.209794130950844     285.226287808564
                 0.2                    0                  3.7                    0    0.209795287240921     285.197899922833
                 0.2                    0                  3.7                    0    0.209796443530999     285.169512037102
                 0.2                    0                  3.7                    0    0.209797599821076     285.141124151371
                 0.2                    0                  3.7                    0    0.209798756111153      285.11273626564
                 0.2                    0                  3.7                    0    0.209799912401231     285.084348379909
                 0.2                    0                  3.7                    0    0.209801068691308     285.055960494177
                 0.2                    0                  3.7                    0    0.209802224981385     285.027572608446
                 0.2                    0                  3.7                    0    0.209803381271463     284.999184722715
                 0.2                    0                  3.7                    0     0.20980453756154     284.970796836984
                 0.2                    0                  3.7                    0    0.209805693851618     284.942408951253
   0.199999999999999                    0                  3.7                    0    0.209806850141695     284.914021065522
                 0.2                    0                  3.7                    0    0.209808006431772      284.88563317979
                 0.2                    0                  3.7                    0     0.20980916272185     284.857245294059
                 0.2                    0                  3.7                    0    0.209810319011927     284.828857408328
                 0.2                    0                  3.7                    0    0.209811475302004     284.800469522597
   0.199999999999999                    0                  3.7                    0    0.209812631592082     284.772081636866
                 0.2                    0                  3.7                    0    0.209813787882159     284.743693751135
                 0.2                    0                  3.7                    0    0.209814944172237     284.715305865403
                 0.2                    0                  3.7                    0    0.209816100462314     284.686917979672
                 0.2                    0                  3.7                    0    0.209817256752391     284.658530093941
   0.199999999999999                    0                  3.7                    0    0.209818413042469      284.63014220821
                 0.2                    0                  3.7                    0    0.209819569332546     284.601754322479
                 0.2                    0                  3.7                    0    0.209820725622623     284.573366436748
                 0.2                    0                  3.7                    0    0.209821881912701     284.544978551016
                 0.2                    0                  3.7                    0    0.209823038202778     284.516590665285
   0.199999999999999                    0                  3.7                    0    0.209824194492856     284.488202779554
   0.200000000000001                    0                  3.7                    0    0.209825350782933     284.459814893823
   0.199999999999999                    0                  3.7                    0     0.20982650707301     284.431427008092
   0.199999999999999                    0                  3.7                    0    0.209827663363088     284.403039122361
   0.200000000000001                    0                  3.7                    0    0.209828819653165     284.374651236629
   0.199999999999999                    0                  3.7                    0    0.209829975943243     284.346263350898
   0.200000000000001                    0                  3.7                    0     0.20983113223332     284.317875465167
   0.199999999999999                    0                  3.7                    0    0.209832288523397     284.289487579436
   0.200000000000001                    0                  3.7                    0    0.209833444813475     284.261099693705
   0.199999999999999                    0                  3.7                    0    0.209834601103552     284.232711807974
   0.199999999999999                    0                  3.7                    0    0.209835757393629     284.204323922242
   0.200000000000001                    0                  3.7                    0    0.209836913683707     284.175936036511
   0.199999999999999                    0                  3.7                    0    0.209838069973784      284.14754815078
   0.200000000000001                    0                  3.7                    0    0.209839226263862     284.119160265049
   0.199999999999999                    0                  3.7                    0    0.209840382553939     284.090772379318
   0.199999999999999                    0                  3.7                    0    0.209841538844016     284.062384493587
   0.200000000000001                    0                  3.7                    0    0.209842695134094     284.033996607855
   0.199999999999999                    0                  3.7                    0    0.209843851424171     284.005608722124
   0.200000000000001                    0                  3.7                    0    0.209845007714248     283.977220836393
   0.199999999999999                    0                  3.7                    0    0.209846164004326     283.948832950662
   0.199999999999999                    0                  3.7                    0    0.209847320294403     283.920445064931
   0.200000000000001                    0                  3.7                    0    0.209848476584481       283.8920571792
   0.199999999999999                    0                  3.7                    0    0.209849632874558     283.863669293468
   0.200000000000001                    0                  3.7                    0    0.209850789164635     283.835281407737
   0.199999999999999                    0                  3.7                    0    0.209851945454713     283.806893522006
   0.199999999999999                    0                  3.7                    0     0.20985310174479     283.778505636275
   0.200000000000001                    0                  3.7                    0    0.209854258034867     283.750117750544
   0.199999999999999                    0                  3.7                    0    0.209855414324945     283.721729864813
   0.200000000000001                    0                  3.7                    0    0.209856570615022     283.693341979081
   0.199999999999999                    0                  3.7                    0      0.2098577269051      283.66495409335
   0.199999999999999                    0                  3.7                    0    0.209858883195177     283.636566207619
   0.200000000000001                    0                  3.7                    0    0.209860039485254     283.608178321888
   0.199999999999999                    0                  3.7                    0    0.209861195775332     283.579790436157
   0.200000000000001                    0                  3.7                    0    0.209862352065409     283.551402550426
   0.199999999999999                    0                  3.7                    0    0.209863508355486     283.523014664694
   0.199999999999999                    0                  3.7                    0    0.209864664645564     283.494626778963
   0.200000000000001                    0                  3.7                    0    0.209865820935641     283.466238893232
   0.199999999999999                    0                  3.7                    0    0.209866977225719     283.437851007501
   0.200000000000001                    0                  3.7                    0    0.209868133515796      283.40946312177
   0.199999999999999                    0                  3.7                    0    0.209869289805873     283.381075236039
   0.199999999999999                    0                  3.7                    0    0.209870446095951     283.352687350307
