#      z (A)        rho (1e-6/A2)       irho (1e-6/A2)
-10.00000000   3.54000000   0.00000000
  0.00000000   3.54000000   0.00000000
  0.00000000   3.70258689   0.00000000
 32.30282261   3.70258689   0.00000000
 32.30282261   6.36069947   0.00000000
 44.40253460   6.36069947   0.00000000
 44.40253460   3.70258689   0.00000000
 80.30060483   3.70258689   0.00000000
 80.30060483   6.36069947   0.00000000
 91.20295285   6.36069947   0.00000000
 91.20295285   3.70258689   0.00000000
127.10231050   3.70258689   0.00000000
127.10231050   6.36069947   0.00000000
139.19853568   6.36069947   0.00000000
139.19853568   3.70258689   0.00000000
175.09839351   3.70258689   0.00000000
175.09839351   6.36069947   0.00000000
185.99855468   6.36069947   0.00000000
185.99855468   3.70258689   0.00000000
221.89660228   3.70258689   0.00000000
221.89660228   6.36069947   0.00000000
233.99581482   6.36069947   0.00000000
233.99581482   3.70258689   0.00000000
269.89562698   3.70258689   0.00000000
269.89562698   6.36069947   0.00000000
273.54590309   6.36069947   0.00000000
273.54590309   3.70258689   0.00000000
309.44485583   3.70258689   0.00000000
309.44485583   6.36069947   0.00000000
313.49438598   6.36069947   0.00000000
313.49438598   3.70258689   0.00000000
349.16504115   3.70258689   0.00000000
349.16504115   6.36069947   0.00000000
353.21486896   6.36069947   0.00000000
353.21486896   3.70258689   0.00000000
389.10471669   3.70258689   0.00000000
389.10471669   6.36069947   0.00000000
393.15411438   6.36069947   0.00000000
393.15411438   3.70258689   0.00000000
429.05086928   3.70258689   0.00000000
429.05086928   6.36069947   0.00000000
433.09885873   6.36069947   0.00000000
433.09885873   3.70258689   0.00000000
468.99061124   3.70258689   0.00000000
468.99061124   6.36069947   0.00000000
481.09019052   6.36069947   0.00000000
481.09019052   3.70258689   0.00000000
516.98982205   3.70258689   0.00000000
516.98982205   6.36069947   0.00000000
527.89011017   6.36069947   0.00000000
527.89011017   3.70258689   0.00000000
560.19771599   3.70258689   0.00000000
560.19771599   6.36069947   0.00000000
572.29444959   6.36069947   0.00000000
572.29444959   3.70258689   0.00000000
608.19429756   3.70258689   0.00000000
608.19429756   6.36069947   0.00000000
619.09659658   6.36069947   0.00000000
619.09659658   3.70258689   0.00000000
651.39677755   3.70258689   0.00000000
651.39677755   6.36069947   0.00000000
663.49676342   6.36069947   0.00000000
663.49676342   0.00000000   0.00000000
673.49676342   0.00000000   0.00000000
